ticker_blackrock,yahoo_ticker,nom,secteur,ponderation_pct,pays,bourse,devise
NXT,NXT.L,NEXT PLC,Biens de consommation cycliques,0.14152,Royaume-Uni,London Stock Exchange,GBP
ANTO,ANTO.L,ANTOFAGASTA PLC,Matériaux,0.14059,Royaume-Uni,London Stock Exchange,GBP
ACA,ACA.PA,CREDIT AGRICOLE SA,Finance,0.1387,France,Nyse Euronext - Euronext Paris,EUR
VACN,VACN.SW,VAT GROUP AG,Industries,0.13787,Suisse,SIX Swiss Exchange,CHF
AENA,AENA.MC,AENA SME SA,Industries,0.13623,Espagne,Bolsa De Madrid,EUR
KPN,KPN.AS,KONINKLIJKE KPN NV,La communication,0.13527,Pays-Bas,Euronext Amsterdam,EUR
NSIS B,NSIS-B.CO,NOVOZYMES B,Matériaux,0.13524,Danemark,Omx Nordic Exchange Copenhagen A/S,DKK
KER,KER.PA,KERING SA,Biens de consommation cycliques,0.13503,France,Nyse Euronext - Euronext Paris,EUR
SAAB B,SAAB-B.ST,SAAB CLASS B,Industries,0.13437,Suède,Nasdaq Omx Nordic,SEK
PHIA,PHIA.AS,KONINKLIJKE PHILIPS NV,Santé,0.13384,Pays-Bas,Euronext Amsterdam,EUR
LGEN,LGEN.L,LEGAL AND GENERAL GROUP PLC,Finance,0.13347,Royaume-Uni,London Stock Exchange,GBP
CAP,CAP.PA,CAPGEMINI,Technologie de l'information,0.13313,France,Nyse Euronext - Euronext Paris,EUR
HBAN,HBAN.SW,HELVETIA BALOISE HOLDING N AG,Finance,0.133,Suisse,SIX Swiss Exchange,CHF
MTX,MTX.DE,MTU AERO ENGINES HOLDING AG,Industries,0.13261,Allemagne,Xetra,EUR
WRT1V,WRT1V.HE,WARTSILA,Industries,0.1311,Finlande,Nasdaq Omx Helsinki Ltd.,EUR
BPE,BPE.MI,BPER BANCA,Finance,0.13056,Italie,Borsa Italiana,EUR
MRK,MRK.DE,MERCK,Santé,0.13035,Allemagne,Xetra,EUR
HEXA B,HEXA-B.ST,HEXAGON CLASS B,Technologie de l'information,0.12851,Suède,Nasdaq Omx Nordic,SEK
VNA,VNA.DE,VONOVIA SE,Immobilier,0.12452,Allemagne,Xetra,EUR
SGSN,SGSN.SW,SGS SA,Industries,0.12331,Suisse,SIX Swiss Exchange,CHF
EPI A,EPI-A.ST,EPIROC CLASS A,Industries,0.12269,Suède,Nasdaq Omx Nordic,SEK
BIRG,BIRG.IR,BANK OF IRELAND GROUP PLC,Finance,0.12092,Irlande,Irish Stock Exchange - All Market,EUR
BOL,BOL.ST,BOLIDEN,Matériaux,0.11526,Suède,Nasdaq Omx Nordic,SEK
BAMI,BAMI.MI,BANCO BPM,Finance,0.11519,Italie,Borsa Italiana,EUR
FRE,FRE.DE,FRESENIUS SE AND CO KGAA,Santé,0.11511,Allemagne,Xetra,EUR
TEF,TEF.MC,TELEFONICA SA,La communication,0.11341,Espagne,Bolsa De Madrid,EUR
BT.A,BT.A.L,BT GROUP PLC,La communication,0.11293,Royaume-Uni,London Stock Exchange,GBP
WKL,WKL.AS,WOLTERS KLUWER NV,Industries,0.11108,Pays-Bas,Euronext Amsterdam,EUR
HNR1,HNR1.DE,HANNOVER RUECK,Finance,0.11084,Allemagne,Xetra,EUR
GMAB,GMAB.CO,GENMAB,Santé,0.11074,Danemark,Omx Nordic Exchange Copenhagen A/S,DKK
STLAM,STLAM.MI,STELLANTIS NV,Biens de consommation cycliques,0.11027,Italie,Borsa Italiana,EUR
SAB,SAB.MC,BANCO DE SABADELL SA,Finance,0.11014,Espagne,Bolsa De Madrid,EUR
ESSITY B,ESSITY-B.ST,ESSITY CLASS B,Biens de consommation de base,0.10934,Suède,Nasdaq Omx Nordic,SEK
TRN,TRN.MI,TERNA RETE ELETTRICA NAZIONALE,Services publics,0.10798,Italie,Borsa Italiana,EUR
BAER,BAER.SW,JULIUS BAER GRUPPE AG,Finance,0.10755,Suisse,SIX Swiss Exchange,CHF
NHY,NHY.OL,NORSK HYDRO,Matériaux,0.10715,Norvège,Oslo Bors Asa,NOK
CLNX,CLNX.MC,CELLNEX TELECOM,La communication,0.1068,Espagne,Bolsa De Madrid,EUR
ALFA,ALFA.ST,ALFA LAVAL,Industries,0.10575,Suède,Nasdaq Omx Nordic,SEK
DSY,DSY.PA,DASSAULT SYSTEMES,Technologie de l'information,0.10528,France,Nyse Euronext - Euronext Paris,EUR
LOGN,LOGN.SW,LOGITECH INTERNATIONAL SA,Technologie de l'information,0.10492,Suisse,SIX Swiss Exchange,CHF
KOG,KOG.OL,KONGSBERG GRUPPEN,Industries,0.10454,Norvège,Oslo Bors Asa,NOK
EN,EN.PA,BOUYGUES SA,Industries,0.10299,France,Nyse Euronext - Euronext Paris,EUR
UPM,UPM.HE,UPM-KYMMENE,Matériaux,0.10142,Finlande,Nasdaq Omx Helsinki Ltd.,EUR
EDP,EDP.LS,EDP ENERGIAS DE PORTUGAL SA,Services publics,0.10074,Portugal,Nyse Euronext - Euronext Lisbon,EUR
SHL,SHL.DE,SIEMENS HEALTHINEERS AG,Santé,0.09954,Allemagne,Xetra,EUR
RTO,RTO.L,RENTOKIL INITIAL PLC,Industries,0.09938,Royaume-Uni,London Stock Exchange,GBP
MONC,MONC.MI,MONCLER,Biens de consommation cycliques,0.09876,Italie,Borsa Italiana,EUR
SRG,SRG.MI,SNAM,Services publics,0.09712,Italie,Borsa Italiana,EUR
RI,RI.PA,PERNOD RICARD SA,Biens de consommation de base,0.09613,France,Nyse Euronext - Euronext Paris,EUR
FBK,FBK.MI,FINECOBANK BANCA FINECO,Finance,0.096,Italie,Borsa Italiana,EUR
DSFIR,DSFIR.AS,DSM FIRMENICH AG,Matériaux,0.09529,Pays-Bas,Euronext Amsterdam,EUR
TIT,TIT.MI,TELECOM ITALIA,La communication,0.09381,Italie,Borsa Italiana,EUR
INF,INF.L,INFORMA PLC,La communication,0.09308,Royaume-Uni,London Stock Exchange,GBP
FGR,FGR.PA,EIFFAGE SA,Industries,0.09154,France,Nyse Euronext - Euronext Paris,EUR
IAG,IAG.L,INTERNATIONAL AIRLINES GROUP SA,Industries,0.09136,Espagne,London Stock Exchange,GBP
STMN,STMN.SW,STRAUMANN HOLDING AG,Santé,0.09065,Suisse,SIX Swiss Exchange,CHF
KRX,KRX.IR,KINGSPAN GROUP PLC,Industries,0.09043,Irlande,Irish Stock Exchange - All Market,EUR
NESTE,NESTE.HE,NESTE,Energie,0.09024,Finlande,Nasdaq Omx Helsinki Ltd.,EUR
BG,BG.VI,BAWAG GROUP AG,Finance,0.08947,Autriche,Wiener Boerse Ag,EUR
KRZ,KRZ.IR,KERRY GROUP PLC,Biens de consommation de base,0.08894,Irlande,Irish Stock Exchange - All Market,EUR
SPSN,SPSN.SW,SWISS PRIME SITE AG,Immobilier,0.08847,Suisse,SIX Swiss Exchange,CHF
ELE,ELE.MC,ENDESA SA,Services publics,0.08767,Espagne,Bolsa De Madrid,EUR
PST,PST.MI,POSTE ITALIANE,Finance,0.08713,Italie,Borsa Italiana,EUR
SCHP,SCHP.SW,SCHINDLER HOLDING PAR AG,Industries,0.08664,Suisse,SIX Swiss Exchange,CHF
AKZA,AKZA.AS,AKZO NOBEL NV,Matériaux,0.08509,Pays-Bas,Euronext Amsterdam,EUR
SN.,SN..L,SMITH AND NEPHEW PLC,Santé,0.0848,Royaume-Uni,London Stock Exchange,GBP
AGS,AGS.BR,AGEAS SA,Finance,0.08462,Belgique,Nyse Euronext - Euronext Brussels,EUR
KGH,KGH.WA,KGHM POLSKA MIEDZ SA,Matériaux,0.08412,Pologne,Warsaw Stock Exchange/Equities/Main Market,PLN
CARL B,CARL-B.CO,CARLSBERG AS CL B,Biens de consommation de base,0.08316,Danemark,Omx Nordic Exchange Copenhagen A/S,DKK
ENX,ENX.PA,EURONEXT NV,Finance,0.08314,France,Nyse Euronext - Euronext Paris,EUR
URW,URW.PA,UNIBAIL RODAMCO WE STAPLED UNITS,Immobilier,0.08299,France,Nyse Euronext - Euronext Paris,EUR
SOON,SOON.SW,SONOVA HOLDING AG,Santé,0.08278,Suisse,SIX Swiss Exchange,CHF
TELIA,TELIA.ST,TELIA COMPANY,La communication,0.0822,Suède,Nasdaq Omx Nordic,SEK
SY1,SY1.DE,SYMRISE AG,Matériaux,0.08212,Allemagne,Xetra,EUR
DPLM,DPLM.L,DIPLOMA PLC,Industries,0.08124,Royaume-Uni,London Stock Exchange,GBP
UU.,UU..L,UNITED UTILITIES GROUP PLC,Services publics,0.08074,Royaume-Uni,London Stock Exchange,GBP
METSO,METSO.HE,METSO CORPORATION,Industries,0.08056,Finlande,Nasdaq Omx Helsinki Ltd.,EUR
CNA,CNA.L,CENTRICA PLC,Services publics,0.08039,Royaume-Uni,London Stock Exchange,GBP
KNIN,KNIN.SW,KUEHNE UND NAGEL INTERNATIONAL AG,Industries,0.08008,Suisse,SIX Swiss Exchange,CHF
CCH,CCH.L,COCA COLA HBC AG,Biens de consommation de base,0.08007,Royaume-Uni,London Stock Exchange,GBP
ORSTED,ORSTED.CO,ORSTED A/S,Services publics,0.07947,Danemark,Omx Nordic Exchange Copenhagen A/S,DKK
SGRO,SGRO.L,SEGRO REIT PLC,Immobilier,0.07904,Royaume-Uni,London Stock Exchange,GBP
HEN3,HEN3.DE,HENKEL & KGAA PREF AG,Biens de consommation de base,0.07903,Allemagne,Xetra,EUR
CA,CA.PA,CARREFOUR SA,Biens de consommation de base,0.07901,France,Nyse Euronext - Euronext Paris,EUR
LISP,LISP.SW,CHOCOLADEFABRIKEN LINDT & SPRUENGL,Biens de consommation de base,0.07678,Suisse,SIX Swiss Exchange,CHF
ITRK,ITRK.L,INTERTEK GROUP PLC,Industries,0.07577,Royaume-Uni,London Stock Exchange,GBP
PEO,PEO.WA,BANK PEKAO SA,Finance,0.07492,Pologne,Warsaw Stock Exchange/Equities/Main Market,PLN
ADM,ADM.L,ADMIRAL GROUP PLC,Finance,0.07486,Royaume-Uni,London Stock Exchange,GBP
SOBI,SOBI.ST,SWEDISH ORPHAN BIOVITRUM,Santé,0.07461,Suède,Nasdaq Omx Nordic,SEK
AKRBP,AKRBP.OL,AKER BP,Energie,0.0737,Norvège,Oslo Bors Asa,NOK
AC,AC.PA,ACCOR SA,Biens de consommation cycliques,0.07319,France,Nyse Euronext - Euronext Paris,EUR
SMIN,SMIN.L,SMITHS GROUP PLC,Industries,0.07176,Royaume-Uni,London Stock Exchange,GBP
ASRNL,ASRNL.AS,ASR NEDERLAND NV,Finance,0.07161,Pays-Bas,Euronext Amsterdam,EUR
TEL,TEL.OL,TELENOR,La communication,0.07127,Norvège,Oslo Bors Asa,NOK
SGE,SGE.L,THE SAGE GROUP PLC,Technologie de l'information,0.06995,Royaume-Uni,London Stock Exchange,GBP
FORTUM,FORTUM.HE,FORTUM,Services publics,0.06955,Finlande,Nasdaq Omx Helsinki Ltd.,EUR
AGN,AGN.AS,AEGON LTD,Finance,0.06925,Pays-Bas,Euronext Amsterdam,EUR
BKT,BKT.MC,BANKINTER SA,Finance,0.06885,Espagne,Bolsa De Madrid,EUR
BEZ,BEZ.L,BEAZLEY PLC,Finance,0.06776,Royaume-Uni,London Stock Exchange,GBP
BCP,BCP.LS,BANCO COMERCIAL PORTUGUES SA,Finance,0.06773,Portugal,Nyse Euronext - Euronext Lisbon,EUR
SVT,SVT.L,SEVERN TRENT PLC,Services publics,0.0676,Royaume-Uni,London Stock Exchange,GBP
TEL2 B,TEL2-B.ST,TELE2 B,La communication,0.06737,Suède,Nasdaq Omx Nordic,SEK
BNZL,BNZL.L,BUNZL,Industries,0.06721,Royaume-Uni,London Stock Exchange,GBP
WISE,WISE.L,WISE PLC CLASS A,Finance,0.06672,Royaume-Uni,London Stock Exchange,GBP
BVI,BVI.PA,BUREAU VERITAS SA,Industries,0.0662,France,Nyse Euronext - Euronext Paris,EUR
HOT,HOT.DE,HOCHTIEF AG,Industries,0.06589,Allemagne,Xetra,EUR
PZU,PZU.WA,PZU SA,Finance,0.0654,Pologne,Warsaw Stock Exchange/Equities/Main Market,PLN
BEAN,BEAN.SW,BELIMO N AG,Industries,0.06434,Suisse,SIX Swiss Exchange,CHF
UNI,UNI.MI,UNIPOL ASSICURAZIONI SPA,Finance,0.06424,Italie,Borsa Italiana,EUR
EVO,EVO.ST,EVOLUTION,Biens de consommation cycliques,0.06406,Suède,Nasdaq Omx Nordic,SEK
DHER,DHER.DE,DELIVERY HERO,Biens de consommation cycliques,0.06383,Allemagne,Xetra,EUR
ACLN,ACLN.SW,ACCELLERON N AG,Industries,0.06368,Suisse,SIX Swiss Exchange,CHF
OMV,OMV.VI,OMV AG,Energie,0.06368,Autriche,Wiener Boerse Ag,EUR
MKS,MKS.L,MARKS AND SPENCER GROUP PLC,Biens de consommation de base,0.06333,Royaume-Uni,London Stock Exchange,GBP
SPIE,SPIE.PA,SPIE SA,Industries,0.06321,France,Nyse Euronext - Euronext Paris,EUR
IMI,IMI.L,IMI PLC,Industries,0.06285,Royaume-Uni,London Stock Exchange,GBP
INDU C,INDU-C.ST,INDUSTRIVARDEN SERIES,Finance,0.06268,Suède,Nasdaq Omx Nordic,SEK
RXL,RXL.PA,REXEL SA,Industries,0.0626,France,Nyse Euronext - Euronext Paris,EUR
MNG,MNG.L,M&G PLC,Finance,0.06256,Royaume-Uni,London Stock Exchange,GBP
PSON,PSON.L,PEARSON PLC,Biens de consommation cycliques,0.0625,Royaume-Uni,London Stock Exchange,GBP
MOWI,MOWI.OL,MOWI,Biens de consommation de base,0.06242,Norvège,Oslo Bors Asa,NOK
TEN,TEN.MI,TENARIS SA,Energie,0.06192,Italie,Borsa Italiana,EUR
G1A,G1A.DE,GEA GROUP AG,Industries,0.06187,Allemagne,Xetra,EUR
NTGY,NTGY.MC,NATURGY ENERGY GROUP SA,Services publics,0.06173,Espagne,Bolsa De Madrid,EUR
CON,CON.DE,CONTINENTAL AG,Biens de consommation cycliques,0.06138,Allemagne,Xetra,EUR
COLO B,COLO-B.CO,COLOPLAST B,Santé,0.06112,Danemark,Omx Nordic Exchange Copenhagen A/S,DKK
ORNBV,ORNBV.HE,ORION CLASS B,Santé,0.06093,Finlande,Nasdaq Omx Helsinki Ltd.,EUR
GALP,GALP.LS,GALP ENERGIA SGPS SA CLASS B,Energie,0.06082,Portugal,Nyse Euronext - Euronext Lisbon,EUR
IGG,IGG.L,IG GROUP HOLDINGS PLC,Finance,0.06075,Royaume-Uni,London Stock Exchange,GBP
SKA B,SKA-B.ST,SKANSKA B,Industries,0.06059,Suède,Nasdaq Omx Nordic,SEK
LI,LI.PA,KLEPIERRE REIT SA,Immobilier,0.06003,France,Nyse Euronext - Euronext Paris,EUR
NKT,NKT.CO,NKT,Industries,0.05975,Danemark,Omx Nordic Exchange Copenhagen A/S,DKK
